outcome,n_policy_blocks,chi_square,df,p_raw,p_holm
Reading Ease,27,35.62962962962962,2,1.832838630296794e-08,9.16419315148397e-08
Source text retained,27,54.0,2,1.8795288165390832e-12,1.6915759348851748e-11
Supported,27,19.757009345794394,2,5.1264878345480925e-05,0.0002050595133819237
Partially supported,27,14.514851485148517,2,0.0007049203483672126,0.002114761045101638
Unsupported,27,12.45714285714286,2,0.0019722674099512923,0.003944534819902585
Contradicted,27,3.4999999999997145,2,0.17377394345046993,0.17377394345046993
Covered,27,54.0,2,1.8795288165390832e-12,1.6915759348851748e-11
Partially covered,27,42.740740740740705,2,5.235595333169795e-10,3.1413571999018773e-09
Not covered,27,54.0,2,1.8795288165390832e-12,1.6915759348851748e-11
