outcome,n_pairs,mean_basic,mean_safety,mean_change,ci95_low,ci95_high,wilcoxon_w,p_raw,rank_biserial,p_holm
Reading Ease,243,38.662921810699586,36.00222222222222,-2.660699588477366,-3.4358847736625506,-1.8990144032921819,7916.0,3.034829442659064e-10,-0.46596505430749513,9.104488327977193e-10
Source text retained,243,0.2045065843621399,0.27248024691358025,0.06797366255144034,0.05827018518518519,0.07780414609053497,1812.5,4.650112951342207e-32,0.8756901340831933,2.3250564756711034e-31
Hallucination,243,0.008577578859879613,0.004565467490925828,-0.004012111368953783,-0.006968756132166901,-0.0010541090796017225,299.5,0.005121751786629996,-0.46897163120567376,0.005121751786629996
Distortion,243,0.03311912428438061,0.018194352836404293,-0.014924771447976314,-0.023458102090908158,-0.006788763661074941,2087.5,0.00032218445016558964,-0.38476274683171235,0.0006443689003311793
Omission,243,0.2967068618249925,0.23349173291095973,-0.06321512891403278,-0.07354582244447123,-0.052846711069393114,2395.0,4.961308542733511e-22,-0.775338867782937,1.9845234170934043e-21
