outcome,n_policy_blocks,chi_square,df,p_raw,p_holm
Reading Ease,27,24.074074074074076,2,5.9208115220426415e-06,4.736649217634113e-05
Source text retained,27,32.88888888888886,2,7.21553470385285e-08,6.493981233467565e-07
Supported,27,1.364485981308407,2,0.5054819286310033,1.0
Partially supported,27,2.5399999999999956,2,0.2808316217783804,1.0
Unsupported,27,9.064935064935023,2,0.010754107197773536,0.07527875038441476
Contradicted,27,0.615384615384633,2,0.735141480591678,1.0
Covered,27,3.1047619047618613,2,0.2117432226408316,1.0
Partially covered,27,0.3551401869158836,2,0.8373023078647329,1.0
Not covered,27,1.2233009708737466,2,0.5424548160426315,1.0
