prompt_set,metric,n_summaries,mean,sd,median,q1,q3,minimum,maximum
Basic,strict_coverage_rate,243,0.5730935393611698,0.2528186487858313,0.5714285714285714,0.3684210526315789,0.8021739130434783,0.02,1.0
Basic,weighted_coverage_rate,243,0.6381933387680887,0.2256982148414044,0.6428571428571429,0.44028520499108736,0.84,0.13924050632911392,1.0
Basic,partial_coverage_rate,243,0.13019959881383747,0.10067268930565015,0.1111111111111111,0.05263157894736842,0.2,0.0,0.4375
Basic,omission_rate,243,0.29670686182499256,0.20743575963973981,0.28205128205128205,0.10526315789473684,0.472953216374269,0.0,0.7468354430379747
Safety-focused,strict_coverage_rate,243,0.6650337460164408,0.26296167235965473,0.6818181818181818,0.4411764705882353,0.9282051282051282,0.04,1.0
Safety-focused,weighted_coverage_rate,243,0.7157710065527406,0.23099280665256927,0.7424242424242424,0.5363043478260869,0.9451127819548872,0.189873417721519,1.0
Safety-focused,partial_coverage_rate,243,0.1014745210725994,0.10331954899650427,0.08333333333333333,0.020416666666666666,0.15384615384615385,0.0,0.5526315789473685
Safety-focused,omission_rate,243,0.23349173291095976,0.20713275193145247,0.2,0.029857397504456328,0.39141414141414144,0.0,0.7468354430379747
