blind_id,run_id,policy_id,model_family,prompt_strategy,prompt_set,strategy,corpus,flesch_reading_ease,word_compression_ratio,gemini_support_rate,gemini_weighted_alignment,coverage_weighted_rate,omission_rate,distortion_rate,hallucination_rate,minicheck_mean_probability
S210,9fe12734-caf2-443e-8950-25ac892bca82,OPP02,llama,basic_structured,basic,structured,OPP-115,35.49,0.0998,1.0,1.0,0.4487179487179487,0.4871794871794871,0.0,0.0,0.9088760252509799
S417,1185f889-23cf-44a6-b216-4b23130b6998,OPP02,llama,safety_focused_direct,safety_focused,direct,OPP-115,28.31,0.1171,0.9411764705882353,0.9705882352941176,0.5769230769230769,0.3846153846153846,0.058823529411764705,0.0,0.9688314690309412
S160,bd45eb51-8094-4793-80b9-8330417e8780,OPP02,llama,safety_focused_role_guided,safety_focused,role_guided,OPP-115,33.38,0.1508,0.8421052631578947,0.9210526315789473,0.4615384615384615,0.4615384615384615,0.15789473684210525,0.0,0.7641438032059293
S464,473c5f41-4544-498c-9a98-3e80155c8600,OPP02,llama,safety_focused_structured,safety_focused,structured,OPP-115,30.43,0.1178,0.9333333333333333,0.9666666666666667,0.4615384615384615,0.4615384615384615,0.06666666666666667,0.0,0.9102696398893992
S031,5e17fe48-8fdf-425d-9e4d-127736735d56,OPP02,mistral,basic_direct,basic,direct,OPP-115,48.32,0.1465,0.9,0.95,0.5769230769230769,0.3076923076923077,0.1,0.0,0.7119925159960985
S069,62d1d2e1-f5cd-438c-b70f-f215bdedd73d,OPP02,mistral,basic_role_guided,basic,role_guided,OPP-115,54.93,0.1089,0.9444444444444444,0.9444444444444444,0.3461538461538461,0.5384615384615384,0.0,0.05555555555555555,0.6831344717906581
S095,9197f33b-a8db-465a-83f3-74cf87dff1cc,OPP02,mistral,basic_structured,basic,structured,OPP-115,53.33,0.0998,0.8666666666666667,0.9,0.4358974358974359,0.4102564102564102,0.06666666666666667,0.06666666666666667,0.7240118778000275
S004,cf6efc74-995f-4c02-a2d4-5393cc104fcd,OPP02,mistral,safety_focused_direct,safety_focused,direct,OPP-115,45.73,0.1344,0.9444444444444444,0.9722222222222222,0.7307692307692307,0.2564102564102564,0.05555555555555555,0.0,0.7269607759598229
S253,e694825a-3173-4abe-b1da-4a1cb2d9faa0,OPP02,mistral,safety_focused_role_guided,safety_focused,role_guided,OPP-115,48.55,0.1256,1.0,1.0,0.5897435897435898,0.4102564102564102,0.0,0.0,0.8287510783656648
S228,728c19d4-a2bb-4a16-8a36-0302608829b6,OPP02,mistral,safety_focused_structured,safety_focused,structured,OPP-115,49.79,0.1079,0.9444444444444444,0.9444444444444444,0.4615384615384615,0.4615384615384615,0.0,0.05555555555555555,0.7193395838969283
S361,1f07129f-8d2f-4695-a548-62c4d2f1d521,OPP03,gpt,basic_direct,basic,direct,OPP-115,28.52,0.0841,1.0,1.0,0.7658227848101266,0.2278481012658227,0.0,0.0,0.844461365402037
S336,5380a2db-4bd9-4957-b38d-12cfb48d3ad4,OPP03,gpt,basic_role_guided,basic,role_guided,OPP-115,33.38,0.0728,1.0,1.0,0.6962025316455697,0.2911392405063291,0.0,0.0,0.876675808294253
S302,43365ac8-b1fc-44be-98c0-0a118cb21346,OPP03,gpt,basic_structured,basic,structured,OPP-115,29.6,0.0853,1.0,1.0,0.7025316455696202,0.2658227848101265,0.0,0.0,0.8329481547500225
S077,874450a5-0ebf-4d85-96a6-821640fe1635,OPP03,gpt,safety_focused_direct,safety_focused,direct,OPP-115,34.4,0.1709,1.0,1.0,0.8417721518987342,0.1265822784810126,0.0,0.0,0.9331665514243974
S296,881b5025-6ec6-43dd-a566-3f1f5f7f4c27,OPP03,gpt,safety_focused_role_guided,safety_focused,role_guided,OPP-115,33.36,0.1766,1.0,1.0,0.8987341772151899,0.1012658227848101,0.0,0.0,0.9236557269571247
S124,be66ed49-7c5f-4a6c-b0f1-a95f670b740e,OPP03,gpt,safety_focused_structured,safety_focused,structured,OPP-115,25.86,0.1073,1.0,1.0,0.7721518987341772,0.2025316455696202,0.0,0.0,0.9169002717076722
S267,2ae4a81f-ef93-4278-aed7-1ad7d03b746e,OPP03,llama,basic_direct,basic,direct,OPP-115,21.93,0.0274,0.9285714285714286,0.9642857142857143,0.2721518987341772,0.6708860759493671,0.07142857142857142,0.0,0.7537476702460221
S079,1f33d678-c9da-4b50-8c53-668df24bdf28,OPP03,llama,basic_role_guided,basic,role_guided,OPP-115,27.46,0.0314,1.0,1.0,0.1392405063291139,0.7468354430379747,0.0,0.0,0.7632643976248801
S164,0d04bc7d-91a8-4c76-b6d7-ee5dde235cda,OPP03,llama,basic_structured,basic,structured,OPP-115,33.85,0.0251,0.9285714285714286,0.9642857142857143,0.1645569620253164,0.7088607594936709,0.07142857142857142,0.0,0.9623189738818577
