model_family,n_summaries,mean_reading_ease,mean_source_text_retained,mean_gemini_supported,mean_gemini_weighted_alignment,mean_weighted_coverage,mean_omission,mean_distortion,mean_hallucination,mean_minicheck_probability
gpt,180,31.26683333333333,0.3249766666666667,0.9896237265313123,0.9935103180722513,0.9074932969458263,0.06716317936767827,0.007908684436891671,0.002467589031796052,0.8717104820301615
llama,180,34.12361111111111,0.17040333333333332,0.9564879773696853,0.9768270607054147,0.45209811199399247,0.4548760269225166,0.040678166671458724,0.0028338559588559587,0.8733895989376751
mistral,180,46.510222222222225,0.22760666666666668,0.9519878148319486,0.9675105198754937,0.6713295080755095,0.2572252978628998,0.031045410087090552,0.017363600477786338,0.8423959721363921
